Time	Open	High	Low	Close	Volume
2020-07-21 06:42:00	1.14417	1.14424	1.14404	1.14411	108
2020-07-21 06:43:00	1.14411	1.14428	1.14407	1.14428	56
2020-07-21 06:44:00	1.14428	1.14445	1.14423	1.14433	191
2020-07-21 06:45:00	1.14433	1.14433	1.14423	1.14433	167
2020-07-21 06:46:00	1.14435	1.14445	1.14433	1.14435	113
2020-07-21 06:47:00	1.14433	1.14441	1.14432	1.14434	104
2020-07-21 06:48:00	1.14435	1.14444	1.14433	1.14442	152
2020-07-21 06:49:00	1.14443	1.14455	1.14442	1.14453	42
2020-07-21 06:50:00	1.1445	1.14467	1.14448	1.14465	97
2020-07-21 06:51:00	1.14465	1.14476	1.14465	1.14469	219
2020-07-21 06:52:00	1.14469	1.14474	1.14466	1.14468	193
2020-07-21 06:53:00	1.1447	1.14482	1.14463	1.14463	122
2020-07-21 06:54:00	1.14466	1.14469	1.14448	1.14456	108
2020-07-21 06:55:00	1.14454	1.14471	1.14447	1.14461	165
2020-07-21 06:56:00	1.14463	1.14465	1.1444	1.14453	120
2020-07-21 06:57:00	1.14452	1.14477	1.14452	1.14477	74
2020-07-21 06:58:00	1.14478	1.1448	1.14446	1.14455	119
2020-07-21 06:59:00	1.14456	1.14464	1.14442	1.14457	122
2020-07-21 07:00:00	1.14458	1.1453	1.14452	1.14528	347
2020-07-21 07:01:00	1.14528	1.14548	1.14511	1.14524	385
2020-07-21 07:02:00	1.14524	1.14533	1.14497	1.14497	253
2020-07-21 07:03:00	1.14495	1.14528	1.14492	1.14523	464
2020-07-21 07:04:00	1.14524	1.14583	1.14524	1.14583	377
2020-07-21 07:05:00	1.14586	1.14606	1.14585	1.14601	422
2020-07-21 07:06:00	1.14599	1.14609	1.14585	1.14606	204
2020-07-21 07:07:00	1.14605	1.14617	1.14598	1.14604	311
2020-07-21 07:08:00	1.14604	1.14644	1.14599	1.14633	307
2020-07-21 07:09:00	1.1463	1.14648	1.14623	1.14647	374
2020-07-21 07:10:00	1.14648	1.14667	1.14622	1.14651	349
2020-07-21 07:11:00	1.14649	1.14653	1.14617	1.14625	403
2020-07-21 07:12:00	1.14625	1.14643	1.14618	1.14627	248
2020-07-21 07:13:00	1.14625	1.14628	1.14603	1.14621	263
2020-07-21 07:14:00	1.14621	1.14621	1.14586	1.14586	250
2020-07-21 07:15:00	1.14591	1.14632	1.14591	1.14602	387
2020-07-21 07:16:00	1.14601	1.14608	1.14571	1.14593	246
2020-07-21 07:17:00	1.14593	1.14597	1.14576	1.14582	255
2020-07-21 07:18:00	1.14582	1.14607	1.1457	1.14573	291
2020-07-21 07:19:00	1.14574	1.14575	1.14555	1.14566	3866
2020-07-21 07:20:00	1.14563	1.14566	1.14555	1.14562	220
2020-07-21 07:21:00	1.14562	1.14593	1.14552	1.14584	324
2020-07-21 07:22:00	1.14584	1.14606	1.14582	1.14588	212
2020-07-21 07:23:00	1.1459	1.14596	1.14577	1.14577	311
2020-07-21 07:24:00	1.14576	1.14605	1.14568	1.14605	352
2020-07-21 07:25:00	1.14605	1.14638	1.14605	1.14623	326
2020-07-21 07:26:00	1.14626	1.14626	1.1457	1.1458	332
2020-07-21 07:27:00	1.14582	1.14582	1.14515	1.14528	477
2020-07-21 07:28:00	1.14527	1.14545	1.14527	1.14539	296
2020-07-21 07:29:00	1.14539	1.14554	1.14534	1.14549	430
2020-07-21 07:30:00	1.14549	1.14565	1.1452	1.14523	635
2020-07-21 07:31:00	1.14523	1.14523	1.1448	1.14498	9531
2020-07-21 07:32:00	1.14499	1.14515	1.14442	1.14462	466
2020-07-21 07:33:00	1.14463	1.14469	1.14447	1.1445	307
2020-07-21 07:34:00	1.14449	1.14465	1.1444	1.14448	367
2020-07-21 07:35:00	1.14447	1.14467	1.14434	1.14443	348
2020-07-21 07:36:00	1.14444	1.14466	1.14444	1.14463	256
2020-07-21 07:37:00	1.14463	1.14463	1.14443	1.14452	208
2020-07-21 07:38:00	1.14453	1.14475	1.14453	1.14467	226
2020-07-21 07:39:00	1.14466	1.14472	1.14458	1.14459	242
2020-07-21 07:40:00	1.1446	1.14467	1.14441	1.14455	201
2020-07-21 07:41:00	1.14454	1.14458	1.14434	1.14458	229
2020-07-21 07:42:00	1.1446	1.1446	1.1439	1.14413	303
2020-07-21 07:43:00	1.14412	1.14426	1.14383	1.14426	274
2020-07-21 07:44:00	1.14425	1.14433	1.14417	1.14426	308
2020-07-21 07:45:00	1.14426	1.14427	1.1435	1.14353	453
2020-07-21 07:46:00	1.14352	1.1437	1.14325	1.14334	418
2020-07-21 07:47:00	1.14332	1.1434	1.14316	1.14325	368
2020-07-21 07:48:00	1.14326	1.14371	1.14324	1.14363	291
2020-07-21 07:49:00	1.14362	1.14368	1.14351	1.14361	246
2020-07-21 07:50:00	1.14362	1.14396	1.14361	1.14372	240
2020-07-21 07:51:00	1.14374	1.14382	1.14356	1.14381	179
2020-07-21 07:52:00	1.14381	1.14396	1.14375	1.14395	91
2020-07-21 07:53:00	1.14394	1.14395	1.14376	1.14379	269
2020-07-21 07:54:00	1.14379	1.14387	1.14365	1.14371	217
2020-07-21 07:55:00	1.14371	1.14405	1.14368	1.14395	259
2020-07-21 07:56:00	1.14395	1.14438	1.14393	1.14434	364
2020-07-21 07:57:00	1.14434	1.14439	1.14421	1.14424	398
2020-07-21 07:58:00	1.14422	1.14442	1.14406	1.14414	364
2020-07-21 07:59:00	1.14414	1.14426	1.1441	1.14426	204
2020-07-21 08:00:00	1.14428	1.14437	1.1439	1.1439	232
2020-07-21 08:01:00	1.1439	1.14406	1.14384	1.14405	214
2020-07-21 08:02:00	1.14405	1.14411	1.14386	1.14394	273
2020-07-21 08:03:00	1.14394	1.14452	1.14394	1.14444	292
2020-07-21 08:04:00	1.14445	1.14447	1.14431	1.1444	259
2020-07-21 08:05:00	1.14441	1.14452	1.14436	1.14439	175
2020-07-21 08:06:00	1.14438	1.14445	1.14398	1.14406	362
2020-07-21 08:07:00	1.14405	1.14416	1.14395	1.14415	235
2020-07-21 08:08:00	1.14416	1.14433	1.14407	1.14433	7538
2020-07-21 08:09:00	1.14432	1.14447	1.14406	1.14441	2798
2020-07-21 08:10:00	1.1444	1.1444	1.14412	1.14412	233
2020-07-21 08:11:00	1.14411	1.14457	1.14411	1.14445	234
2020-07-21 08:12:00	1.14446	1.14451	1.14432	1.14436	208
2020-07-21 08:13:00	1.14437	1.14455	1.14436	1.14446	111
2020-07-21 08:14:00	1.14447	1.14454	1.14426	1.14445	253
2020-07-21 08:15:00	1.14442	1.14446	1.14434	1.14445	181
2020-07-21 08:16:00	1.14445	1.14455	1.14434	1.14438	226
2020-07-21 08:17:00	1.14437	1.14437	1.14399	1.14403	344
2020-07-21 08:18:00	1.14401	1.14401	1.14324	1.14324	553
2020-07-21 08:19:00	1.14324	1.14345	1.14289	1.14333	543
2020-07-21 08:20:00	1.14331	1.14334	1.14304	1.14312	381
2020-07-21 08:21:00	1.1431	1.14339	1.14309	1.14332	161
2020-07-21 08:22:00	1.14332	1.14335	1.14319	1.14321	1217
2020-07-21 08:23:00	1.1432	1.14329	1.14315	1.14319	2538
2020-07-21 08:24:00	1.1432	1.14325	1.1431	1.14324	223
2020-07-21 08:25:00	1.14323	1.14339	1.14322	1.14334	162
2020-07-21 08:26:00	1.14334	1.14351	1.14334	1.14341	313
2020-07-21 08:27:00	1.14341	1.1435	1.14339	1.14344	168
2020-07-21 08:28:00	1.14345	1.14349	1.14326	1.14335	186
2020-07-21 08:29:00	1.14334	1.14334	1.14313	1.14321	257
2020-07-21 08:30:00	1.14321	1.14329	1.14315	1.14325	244
2020-07-21 08:31:00	1.14326	1.14345	1.14325	1.14339	182
2020-07-21 08:32:00	1.14339	1.14365	1.14339	1.1436	203
2020-07-21 08:33:00	1.1436	1.1437	1.14356	1.1437	121
2020-07-21 08:34:00	1.14369	1.14375	1.14364	1.14374	150
2020-07-21 08:35:00	1.14374	1.14376	1.14367	1.1437	321
2020-07-21 08:36:00	1.14368	1.14407	1.14368	1.14405	210
2020-07-21 08:37:00	1.14406	1.1443	1.14401	1.14421	334
2020-07-21 08:38:00	1.1442	1.14424	1.14411	1.14415	177
2020-07-21 08:39:00	1.14415	1.14427	1.14413	1.14422	475
2020-07-21 08:40:00	1.14421	1.14432	1.14417	1.1443	189
2020-07-21 08:41:00	1.1443	1.1446	1.14427	1.14457	280
2020-07-21 08:42:00	1.14458	1.14482	1.14448	1.1445	258
2020-07-21 08:43:00	1.1445	1.14456	1.14439	1.1445	250
2020-07-21 08:44:00	1.14451	1.14451	1.14427	1.14438	221
2020-07-21 08:45:00	1.14439	1.14447	1.14428	1.14443	278
2020-07-21 08:46:00	1.14442	1.14461	1.14442	1.14456	279
2020-07-21 08:47:00	1.14456	1.14491	1.14455	1.14486	276
2020-07-21 08:48:00	1.14485	1.14499	1.14454	1.14454	232
2020-07-21 08:49:00	1.14454	1.14469	1.14449	1.14453	335
2020-07-21 08:50:00	1.14454	1.14482	1.14453	1.14478	271
2020-07-21 08:51:00	1.14479	1.14479	1.14464	1.14475	122
2020-07-21 08:52:00	1.14474	1.14491	1.14455	1.14459	233
2020-07-21 08:53:00	1.1446	1.14466	1.14436	1.14437	194
2020-07-21 08:54:00	1.14436	1.14449	1.14419	1.14445	140
2020-07-21 08:55:00	1.14444	1.14456	1.1444	1.14445	175
2020-07-21 08:56:00	1.14444	1.14444	1.14409	1.14413	42111
2020-07-21 08:57:00	1.14413	1.14416	1.14386	1.14405	214
2020-07-21 08:58:00	1.14406	1.14418	1.14405	1.1441	180
2020-07-21 08:59:00	1.1441	1.14451	1.14409	1.14431	257
2020-07-21 09:00:00	1.14431	1.14444	1.14421	1.14422	173
2020-07-21 09:01:00	1.14421	1.14427	1.1441	1.14426	271
2020-07-21 09:02:00	1.14426	1.14427	1.144	1.1441	275
2020-07-21 09:03:00	1.14408	1.1441	1.14374	1.14383	291
2020-07-21 09:04:00	1.14384	1.14392	1.14362	1.1438	296
2020-07-21 09:05:00	1.1438	1.144	1.14379	1.14399	189
2020-07-21 09:06:00	1.14399	1.14399	1.14391	1.14396	76
2020-07-21 09:07:00	1.14396	1.14413	1.14383	1.14407	84
2020-07-21 09:08:00	1.14407	1.14415	1.14405	1.14406	81
2020-07-21 09:09:00	1.14406	1.14428	1.14395	1.14426	166
2020-07-21 09:10:00	1.14426	1.14441	1.14421	1.14441	228
2020-07-21 09:11:00	1.1444	1.14442	1.14431	1.14442	172
2020-07-21 09:12:00	1.14441	1.1445	1.14438	1.14441	200
2020-07-21 09:13:00	1.14439	1.14439	1.14425	1.14435	1818
2020-07-21 09:14:00	1.14435	1.14435	1.14423	1.14426	96
2020-07-21 09:15:00	1.14426	1.14438	1.14423	1.14435	156
2020-07-21 09:16:00	1.14435	1.14436	1.14421	1.14422	260
2020-07-21 09:17:00	1.14422	1.14434	1.1441	1.14432	164
2020-07-21 09:18:00	1.14432	1.14448	1.14432	1.14443	131
2020-07-21 09:19:00	1.14441	1.14441	1.14421	1.1443	140
2020-07-21 09:20:00	1.14431	1.14439	1.14421	1.14421	187
2020-07-21 09:21:00	1.14421	1.14431	1.14415	1.14428	154
2020-07-21 09:22:00	1.14428	1.14428	1.14394	1.14402	262
2020-07-21 09:23:00	1.14401	1.14421	1.14401	1.14403	389
2020-07-21 09:24:00	1.14402	1.14416	1.14382	1.14382	389
2020-07-21 09:25:00	1.14384	1.14384	1.14321	1.14343	382
2020-07-21 09:26:00	1.14344	1.14351	1.14341	1.14345	208
2020-07-21 09:27:00	1.14344	1.14344	1.14302	1.14302	273
2020-07-21 09:28:00	1.14301	1.14334	1.14299	1.14325	313
2020-07-21 09:29:00	1.14327	1.14356	1.14327	1.14351	236
2020-07-21 09:30:00	1.14351	1.14367	1.14344	1.14355	266
2020-07-21 09:31:00	1.14356	1.14369	1.14352	1.14355	178
2020-07-21 09:32:00	1.14354	1.14359	1.1435	1.14355	208
2020-07-21 09:33:00	1.14357	1.14364	1.14355	1.14361	143
2020-07-21 09:34:00	1.14361	1.14374	1.14358	1.14361	181
2020-07-21 09:35:00	1.14364	1.14381	1.14361	1.1438	265
2020-07-21 09:36:00	1.14381	1.14393	1.14371	1.14388	230
2020-07-21 09:37:00	1.14391	1.14392	1.14373	1.14378	160
2020-07-21 09:38:00	1.14377	1.14386	1.14375	1.14386	79
2020-07-21 09:39:00	1.14385	1.14392	1.1437	1.1437	121
2020-07-21 09:40:00	1.1437	1.14397	1.1437	1.14397	167
2020-07-21 09:41:00	1.14398	1.14401	1.14375	1.14375	173
2020-07-21 09:42:00	1.14375	1.14375	1.14343	1.14355	112
2020-07-21 09:43:00	1.14357	1.14366	1.14356	1.14364	114
2020-07-21 09:44:00	1.14364	1.14392	1.1436	1.14392	238
2020-07-21 09:45:00	1.14393	1.14405	1.14388	1.14391	253
2020-07-21 09:46:00	1.14389	1.144	1.14386	1.144	250
2020-07-21 09:47:00	1.14401	1.14406	1.14392	1.14392	197
2020-07-21 09:48:00	1.14392	1.14411	1.14391	1.14409	136
2020-07-21 09:49:00	1.14408	1.14422	1.14397	1.14401	562
2020-07-21 09:50:00	1.14405	1.14412	1.14405	1.14406	118
2020-07-21 09:51:00	1.14404	1.1442	1.14403	1.14416	103
2020-07-21 09:52:00	1.14416	1.14436	1.14416	1.14432	123
2020-07-21 09:53:00	1.14432	1.14439	1.14415	1.14415	144
2020-07-21 09:54:00	1.14414	1.14427	1.14407	1.14425	108
2020-07-21 09:55:00	1.14426	1.14431	1.14418	1.14426	189
2020-07-21 09:56:00	1.14425	1.14445	1.14416	1.14445	366
2020-07-21 09:57:00	1.14444	1.14468	1.14437	1.14457	373
2020-07-21 09:58:00	1.14459	1.14472	1.1444	1.14442	182
2020-07-21 09:59:00	1.14441	1.14442	1.14428	1.14434	251
2020-07-21 10:00:00	1.14435	1.14456	1.1443	1.1445	268
2020-07-21 10:01:00	1.1445	1.14455	1.14441	1.14443	118
2020-07-21 10:02:00	1.14444	1.14455	1.14437	1.14455	238
2020-07-21 10:03:00	1.14454	1.14454	1.14434	1.14437	50
2020-07-21 10:04:00	1.14436	1.14448	1.14435	1.14439	83
2020-07-21 10:05:00	1.14439	1.14439	1.1441	1.14414	176
2020-07-21 10:06:00	1.14414	1.14422	1.14399	1.1441	158
2020-07-21 10:07:00	1.14411	1.1442	1.14402	1.14414	168
2020-07-21 10:08:00	1.14415	1.14427	1.14414	1.14421	145
2020-07-21 10:09:00	1.14421	1.14447	1.1442	1.14445	148
2020-07-21 10:10:00	1.14445	1.14448	1.14427	1.1443	142
2020-07-21 10:11:00	1.1443	1.14456	1.1443	1.14455	348
2020-07-21 10:12:00	1.14453	1.1447	1.14453	1.14465	320
2020-07-21 10:13:00	1.14465	1.14492	1.14462	1.14491	190
2020-07-21 10:14:00	1.14492	1.14529	1.1449	1.14521	254
2020-07-21 10:15:00	1.14519	1.14537	1.14516	1.1453	243
2020-07-21 10:16:00	1.1453	1.14531	1.14516	1.14525	227
2020-07-21 10:17:00	1.14526	1.14551	1.14526	1.14547	128
2020-07-21 10:18:00	1.14549	1.14569	1.14549	1.14551	248
2020-07-21 10:19:00	1.1455	1.14571	1.14547	1.14571	166
2020-07-21 10:20:00	1.14571	1.14571	1.14552	1.14552	245
2020-07-21 10:21:00	1.14552	1.14567	1.14549	1.14563	158
2020-07-21 10:22:00	1.14564	1.14603	1.14564	1.1458	370
2020-07-21 10:23:00	1.14581	1.14585	1.14579	1.14581	325
2020-07-21 10:24:00	1.14579	1.1458	1.14555	1.1456	178
2020-07-21 10:25:00	1.14562	1.14574	1.14555	1.14574	138
2020-07-21 10:26:00	1.14572	1.1458	1.14554	1.14554	166
2020-07-21 10:27:00	1.14554	1.1457	1.14549	1.14564	118
2020-07-21 10:28:00	1.14562	1.14562	1.14554	1.14554	91
2020-07-21 10:29:00	1.14554	1.1456	1.14546	1.14546	95
2020-07-21 10:30:00	1.14546	1.14558	1.14543	1.14549	202
2020-07-21 10:31:00	1.14551	1.14551	1.1454	1.1454	123
2020-07-21 10:32:00	1.14539	1.14545	1.14529	1.14544	137
2020-07-21 10:33:00	1.14545	1.14555	1.14541	1.14554	152
2020-07-21 10:34:00	1.14554	1.1456	1.1454	1.14541	218
2020-07-21 10:35:00	1.14543	1.14543	1.14527	1.1453	182
2020-07-21 10:36:00	1.1453	1.14544	1.14525	1.14529	220
2020-07-21 10:37:00	1.14529	1.1453	1.14516	1.1453	193
2020-07-21 10:38:00	1.14531	1.14534	1.14506	1.1451	189
2020-07-21 10:39:00	1.14511	1.14534	1.14492	1.14534	525
2020-07-21 10:40:00	1.14534	1.14535	1.14515	1.14515	87
2020-07-21 10:41:00	1.14516	1.14516	1.145	1.14502	121
2020-07-21 10:42:00	1.14503	1.14503	1.14483	1.14484	191
2020-07-21 10:43:00	1.14483	1.14502	1.14477	1.14501	264
2020-07-21 10:44:00	1.14503	1.14512	1.14493	1.14511	205
2020-07-21 10:45:00	1.14513	1.14522	1.14512	1.14518	118
2020-07-21 10:46:00	1.14517	1.14527	1.14516	1.14524	146
2020-07-21 10:47:00	1.14525	1.14537	1.14522	1.14531	155
2020-07-21 10:48:00	1.14532	1.1455	1.14525	1.14542	331
2020-07-21 10:49:00	1.14541	1.14543	1.1453	1.14543	206
2020-07-21 10:50:00	1.14542	1.14551	1.14535	1.14545	232
2020-07-21 10:51:00	1.14545	1.14554	1.14527	1.14543	221
2020-07-21 10:52:00	1.14542	1.14543	1.14523	1.14525	120
2020-07-21 10:53:00	1.14525	1.1455	1.1452	1.14549	135
2020-07-21 10:54:00	1.1455	1.14551	1.14537	1.14539	171
2020-07-21 10:55:00	1.1454	1.1454	1.14513	1.14515	307
2020-07-21 10:56:00	1.14515	1.14516	1.14454	1.1446	330
2020-07-21 10:57:00	1.14459	1.14469	1.14425	1.14426	452
2020-07-21 10:58:00	1.14426	1.14426	1.14363	1.14391	538
2020-07-21 10:59:00	1.1439	1.14392	1.1437	1.14379	481
2020-07-21 11:00:00	1.1438	1.14388	1.14363	1.14363	450
2020-07-21 11:01:00	1.14364	1.14406	1.14364	1.14403	427
2020-07-21 11:02:00	1.14404	1.14406	1.14385	1.14386	391
2020-07-21 11:03:00	1.14387	1.14398	1.14381	1.14396	253
2020-07-21 11:04:00	1.14395	1.14401	1.14385	1.1439	241
2020-07-21 11:05:00	1.14391	1.14395	1.14376	1.14395	305
2020-07-21 11:06:00	1.14396	1.14398	1.14378	1.14388	160
2020-07-21 11:07:00	1.14387	1.14396	1.14361	1.14367	314
2020-07-21 11:08:00	1.14367	1.14373	1.14347	1.14356	212
2020-07-21 11:09:00	1.14355	1.14362	1.1435	1.14353	324
2020-07-21 11:10:00	1.14353	1.14358	1.14338	1.14338	203
2020-07-21 11:11:00	1.14339	1.14366	1.14337	1.14347	244
2020-07-21 11:12:00	1.14348	1.14389	1.14348	1.14384	226
2020-07-21 11:13:00	1.14384	1.14394	1.14373	1.14376	239
2020-07-21 11:14:00	1.14377	1.14381	1.14373	1.14373	77
2020-07-21 11:15:00	1.14373	1.14376	1.14356	1.14375	175
2020-07-21 11:16:00	1.14375	1.14377	1.14316	1.14319	344
2020-07-21 11:17:00	1.14317	1.14346	1.14315	1.14345	201
2020-07-21 11:18:00	1.14347	1.14355	1.14336	1.14336	167
2020-07-21 11:19:00	1.14336	1.14364	1.14332	1.14361	215
2020-07-21 11:20:00	1.14363	1.14391	1.14362	1.14371	256
2020-07-21 11:21:00	1.14371	1.14377	1.14369	1.14376	252
2020-07-21 11:22:00	1.14375	1.14376	1.14363	1.14363	196
2020-07-21 11:23:00	1.14365	1.14377	1.14362	1.14377	225
2020-07-21 11:24:00	1.14376	1.14379	1.14358	1.14361	263
2020-07-21 11:25:00	1.14364	1.14365	1.1436	1.14364	164
2020-07-21 11:26:00	1.14363	1.1438	1.14358	1.14358	225
2020-07-21 11:27:00	1.14358	1.14382	1.14358	1.14377	173
2020-07-21 11:28:00	1.14377	1.14386	1.14367	1.1437	313
2020-07-21 11:29:00	1.14371	1.14386	1.14368	1.14377	237
2020-07-21 11:30:00	1.14375	1.14375	1.14362	1.1437	226
2020-07-21 11:31:00	1.14369	1.14387	1.14367	1.14371	191
2020-07-21 11:32:00	1.14372	1.14386	1.14371	1.14381	228
2020-07-21 11:33:00	1.14381	1.14381	1.14359	1.14363	186
2020-07-21 11:34:00	1.14361	1.14363	1.14346	1.1436	176
2020-07-21 11:35:00	1.1436	1.14386	1.1436	1.14383	254
2020-07-21 11:36:00	1.14382	1.14396	1.14374	1.14395	237
2020-07-21 11:37:00	1.14394	1.14399	1.14383	1.14389	255
2020-07-21 11:38:00	1.1439	1.14419	1.14384	1.14417	277
2020-07-21 11:39:00	1.14418	1.14434	1.14413	1.14428	263
2020-07-21 11:40:00	1.14431	1.14434	1.14407	1.1441	214
2020-07-21 11:41:00	1.14409	1.14416	1.14397	1.14416	219
2020-07-21 11:42:00	1.14417	1.14426	1.14408	1.14418	180
2020-07-21 11:43:00	1.14425	1.14433	1.14425	1.14432	101
2020-07-21 11:44:00	1.14432	1.14444	1.14422	1.14444	207
2020-07-21 11:45:00	1.14443	1.14446	1.14426	1.14444	268
2020-07-21 11:46:00	1.14443	1.14447	1.1444	1.14444	229
2020-07-21 11:47:00	1.14444	1.14447	1.14437	1.14443	306
2020-07-21 11:48:00	1.14442	1.14442	1.14427	1.14434	186
2020-07-21 11:49:00	1.14435	1.14435	1.1442	1.1442	162
2020-07-21 11:50:00	1.14421	1.14427	1.14412	1.14416	160
2020-07-21 11:51:00	1.14419	1.14445	1.14419	1.14443	262
2020-07-21 11:52:00	1.14444	1.14444	1.14419	1.1442	2254
2020-07-21 11:53:00	1.14421	1.14421	1.144	1.14402	224
2020-07-21 11:54:00	1.14401	1.14433	1.14391	1.14433	310
2020-07-21 11:55:00	1.14433	1.14433	1.14404	1.14407	219
2020-07-21 11:56:00	1.14409	1.14411	1.14391	1.14392	268
2020-07-21 11:57:00	1.14393	1.14396	1.14378	1.14379	355
2020-07-21 11:58:00	1.14379	1.14387	1.1437	1.14378	514
2020-07-21 11:59:00	1.1438	1.1438	1.14356	1.14372	365
2020-07-21 12:00:00	1.14372	1.14391	1.1437	1.14379	306
2020-07-21 12:01:00	1.14379	1.14394	1.14361	1.14373	401
2020-07-21 12:02:00	1.14373	1.14402	1.14372	1.14402	249
2020-07-21 12:03:00	1.14403	1.14413	1.14399	1.14409	343
2020-07-21 12:04:00	1.14408	1.14412	1.144	1.1441	230
2020-07-21 12:05:00	1.14411	1.14423	1.14409	1.14418	161
2020-07-21 12:06:00	1.14418	1.14421	1.14412	1.14417	306
2020-07-21 12:07:00	1.14418	1.14428	1.14415	1.14428	364
2020-07-21 12:08:00	1.14428	1.14444	1.14427	1.14443	221
2020-07-21 12:09:00	1.14445	1.14453	1.14431	1.14433	194
2020-07-21 12:10:00	1.14432	1.14443	1.14419	1.14441	268
2020-07-21 12:11:00	1.14441	1.14444	1.14421	1.14431	213
2020-07-21 12:12:00	1.14434	1.14436	1.14419	1.14419	269
2020-07-21 12:13:00	1.1442	1.14442	1.14406	1.14436	253
2020-07-21 12:14:00	1.14437	1.14437	1.14426	1.1443	209
2020-07-21 12:15:00	1.14431	1.14431	1.1441	1.1442	309
2020-07-21 12:16:00	1.14418	1.14421	1.1441	1.14415	371
2020-07-21 12:17:00	1.14415	1.14424	1.14405	1.14413	176
2020-07-21 12:18:00	1.14412	1.14412	1.1439	1.14391	112
2020-07-21 12:19:00	1.14389	1.14398	1.14379	1.14383	161
2020-07-21 12:20:00	1.14384	1.14402	1.14382	1.14392	259
2020-07-21 12:21:00	1.14393	1.14411	1.14393	1.14411	145
2020-07-21 12:22:00	1.14414	1.14421	1.14408	1.14415	180
2020-07-21 12:23:00	1.14417	1.14442	1.14417	1.14437	223
2020-07-21 12:24:00	1.14436	1.14445	1.14429	1.14441	335
2020-07-21 12:25:00	1.14441	1.1446	1.14433	1.14446	298
2020-07-21 12:26:00	1.14446	1.14482	1.14445	1.14481	308
2020-07-21 12:27:00	1.14481	1.14498	1.14481	1.1449	274
2020-07-21 12:28:00	1.1449	1.1449	1.14482	1.14486	53
2020-07-21 12:29:00	1.14486	1.14496	1.14483	1.14495	51
2020-07-21 12:30:00	1.14495	1.14523	1.14495	1.14511	276
2020-07-21 12:31:00	1.14511	1.14511	1.14466	1.14479	214
2020-07-21 12:32:00	1.14479	1.1448	1.14452	1.14458	196
2020-07-21 12:33:00	1.14458	1.14469	1.14452	1.14462	208
2020-07-21 12:34:00	1.14462	1.14485	1.1446	1.1448	247
2020-07-21 12:35:00	1.14482	1.1449	1.14472	1.14485	185
2020-07-21 12:36:00	1.14484	1.14514	1.14482	1.14504	252
2020-07-21 12:37:00	1.14505	1.14505	1.14483	1.14483	105
2020-07-21 12:38:00	1.14484	1.14484	1.14471	1.14474	159
2020-07-21 12:39:00	1.14474	1.1449	1.14473	1.14485	115
2020-07-21 12:40:00	1.14484	1.14488	1.14474	1.14475	123
2020-07-21 12:41:00	1.14474	1.14484	1.14467	1.14481	163
2020-07-21 12:42:00	1.1448	1.1448	1.14449	1.14453	178
2020-07-21 12:43:00	1.14454	1.14472	1.14453	1.14463	199
2020-07-21 12:44:00	1.14464	1.14478	1.14461	1.14469	153
2020-07-21 12:45:00	1.14473	1.14494	1.14473	1.1449	213
2020-07-21 12:46:00	1.14494	1.14495	1.14471	1.14474	250
2020-07-21 12:47:00	1.14474	1.14474	1.14452	1.14462	240
2020-07-21 12:48:00	1.14461	1.14476	1.14459	1.14471	182
2020-07-21 12:49:00	1.14471	1.14492	1.14466	1.14491	224
2020-07-21 12:50:00	1.14491	1.145	1.14486	1.14495	175
2020-07-21 12:51:00	1.14494	1.14499	1.14485	1.14498	291
2020-07-21 12:52:00	1.14499	1.145	1.14485	1.14487	178
2020-07-21 12:53:00	1.14487	1.145	1.14483	1.14498	205
2020-07-21 12:54:00	1.14497	1.14507	1.1449	1.14505	149
2020-07-21 12:55:00	1.14505	1.14505	1.14458	1.14469	352
2020-07-21 12:56:00	1.14469	1.14469	1.14399	1.14417	308
2020-07-21 12:57:00	1.14417	1.14431	1.14389	1.1439	302
2020-07-21 12:58:00	1.14391	1.14409	1.14364	1.1438	288
2020-07-21 12:59:00	1.14381	1.14406	1.14376	1.14386	354
2020-07-21 13:00:00	1.14389	1.14431	1.14389	1.14429	376
2020-07-21 13:01:00	1.14431	1.14438	1.14411	1.14415	271
2020-07-21 13:02:00	1.14415	1.14426	1.14413	1.14421	200
2020-07-21 13:03:00	1.1442	1.1444	1.14418	1.1443	196
2020-07-21 13:04:00	1.14429	1.14456	1.14429	1.14439	250
2020-07-21 13:05:00	1.1444	1.14465	1.14421	1.14465	221
